date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2013-06-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-24,SKIP,no option definitions for day,1571.05,21.39,,,,,,0,,,,,,,,2.112
2013-06-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-26,SKIP,no option definitions for day,1600.52,17.7,,,,,,0,,,,,,,,2.975
2013-06-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-28,SKIP,no option definitions for day,1608.2,17.28,,,,,,0,,,,,,,,2.479
2013-06-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-07-01,SKIP,no option definitions for day,1618.25,16.66,,,,,,0,,,,,,,,2.757
2013-07-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-07-03,ENTER,enter (normal),1608.55,16.93,2013-07-05,2.0,1575.0,1550.0,1.02,10,23980.0,2013-07-03 11:54:00 EDT,0.51,profit_target,51.0,510.0,Win,7.033
2013-07-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-07-05,SKIP,no credit-qualified spread candidate,1624.39,15.8,,,,,,0,,,,,,,,15.448
2013-07-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-07-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-07-08,SKIP,no option definitions for day,1638.78,15.07,,,,,,0,,,,,,,,3.881
